IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.104.231,4,4,0.00,292.97,1.26,FRA
104.27.105.145,4,4,0.00,252.67,0.61,FRA
104.27.205.7,4,4,0.00,181.97,0.45,FRA
104.27.120.122,4,4,0.00,221.82,0.32,FRA
104.27.199.4,4,4,0.00,189.77,0.27,FRA
104.27.97.119,4,4,0.00,256.19,0.22,FRA
104.27.106.54,4,4,0.00,282.93,0.17,FRA
104.27.203.231,4,4,0.00,186.24,0.13,FRA
104.27.207.156,4,4,0.00,217.17,0.13,FRA
104.27.113.235,4,4,0.00,209.17,0.11,FRA
104.17.51.100,4,3,0.25,542.26,0.00,N/A
104.21.40.204,4,3,0.25,425.84,0.00,N/A
104.27.100.173,4,4,0.00,300.90,0.00,N/A
104.27.59.131,4,4,0.00,312.39,0.00,N/A
104.27.56.192,4,4,0.00,313.48,0.00,N/A
172.67.101.108,4,4,0.00,317.88,0.00,N/A
104.27.54.39,4,4,0.00,337.45,0.00,N/A
104.25.70.89,4,4,0.00,347.84,0.00,N/A
104.27.55.173,4,4,0.00,349.25,0.00,N/A
104.25.58.136,4,4,0.00,356.69,0.00,N/A
162.159.45.141,4,4,0.00,367.98,0.00,N/A
162.159.44.235,4,4,0.00,369.20,0.00,N/A
162.159.38.82,4,4,0.00,374.60,0.00,N/A
104.23.98.56,4,4,0.00,376.46,0.00,N/A
162.159.249.0,4,4,0.00,381.73,0.00,N/A
104.25.69.169,4,4,0.00,381.83,0.00,N/A
172.67.113.170,4,4,0.00,383.07,0.00,N/A
104.24.240.65,4,4,0.00,383.77,0.00,N/A
104.19.244.232,4,4,0.00,388.47,0.00,N/A
172.67.112.165,4,4,0.00,389.60,0.00,N/A
104.23.128.67,4,4,0.00,395.13,0.00,N/A
172.65.231.115,4,4,0.00,395.23,0.00,N/A
104.21.233.103,4,4,0.00,397.69,0.00,N/A
162.159.42.187,4,4,0.00,397.82,0.00,N/A
104.24.242.207,4,4,0.00,403.27,0.00,N/A
104.25.19.227,4,4,0.00,403.33,0.00,N/A
104.21.36.77,4,4,0.00,407.28,0.00,N/A
104.21.14.93,4,4,0.00,410.47,0.00,N/A
162.159.59.131,4,4,0.00,410.88,0.00,N/A
104.21.2.91,4,4,0.00,410.97,0.00,N/A
104.21.15.66,4,4,0.00,411.95,0.00,N/A
172.65.189.35,4,4,0.00,412.78,0.00,N/A
