IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.19.242.131,4,4,0.00,149.67,0.74,LAX
162.159.45.100,4,4,0.00,151.82,0.63,LAX
104.19.247.73,4,4,0.00,154.30,0.62,LAX
104.18.144.109,4,4,0.00,148.95,0.59,SJC
104.19.138.252,4,4,0.00,150.24,0.26,LAX
104.19.250.249,4,4,0.00,154.73,0.24,LAX
104.16.114.159,4,4,0.00,154.73,0.24,LAX
104.21.229.133,4,4,0.00,153.35,0.18,LAX
104.18.127.120,4,4,0.00,152.62,0.17,LAX
104.17.103.31,4,4,0.00,149.67,0.09,SJC
104.18.146.37,4,3,0.25,237.67,0.00,N/A
172.66.213.229,4,4,0.00,219.78,0.00,N/A
104.19.135.215,4,4,0.00,155.78,0.00,N/A
104.16.57.106,4,4,0.00,155.80,0.00,N/A
172.64.153.25,4,4,0.00,156.13,0.00,N/A
104.19.128.162,4,4,0.00,156.16,0.00,N/A
104.16.119.42,4,4,0.00,156.64,0.00,N/A
141.101.123.140,4,4,0.00,156.73,0.00,N/A
104.19.253.233,4,4,0.00,157.25,0.00,N/A
172.64.40.128,4,4,0.00,158.20,0.00,N/A
104.19.248.148,4,4,0.00,158.41,0.00,N/A
104.17.134.146,4,4,0.00,158.53,0.00,N/A
198.41.192.128,4,4,0.00,158.84,0.00,N/A
104.18.121.78,4,4,0.00,159.46,0.00,N/A
104.19.240.31,4,4,0.00,160.44,0.00,N/A
162.159.192.17,4,4,0.00,160.77,0.00,N/A
104.16.144.223,4,4,0.00,162.72,0.00,N/A
104.21.225.112,4,4,0.00,163.43,0.00,N/A
104.16.6.42,4,4,0.00,165.77,0.00,N/A
162.159.207.82,4,4,0.00,167.56,0.00,N/A
172.65.156.98,4,4,0.00,169.09,0.00,N/A
172.67.160.196,4,4,0.00,169.26,0.00,N/A
104.19.176.81,4,4,0.00,169.99,0.00,N/A
104.24.187.92,4,4,0.00,170.24,0.00,N/A
104.19.81.77,4,4,0.00,170.40,0.00,N/A
104.18.91.53,4,4,0.00,171.01,0.00,N/A
172.66.44.58,4,4,0.00,171.38,0.00,N/A
172.67.87.148,4,4,0.00,172.40,0.00,N/A
104.16.36.17,4,4,0.00,172.80,0.00,N/A
172.64.95.5,4,4,0.00,173.27,0.00,N/A
172.65.158.241,4,4,0.00,173.29,0.00,N/A
104.18.53.224,4,4,0.00,174.87,0.00,N/A
104.24.245.106,4,4,0.00,175.28,0.00,N/A
104.25.159.216,4,4,0.00,175.55,0.00,N/A
104.23.117.5,4,4,0.00,176.18,0.00,N/A
172.66.130.215,4,4,0.00,176.29,0.00,N/A
162.159.58.248,4,4,0.00,176.61,0.00,N/A
104.24.49.175,4,4,0.00,176.66,0.00,N/A
104.24.46.185,4,4,0.00,176.71,0.00,N/A
172.67.195.66,4,4,0.00,176.79,0.00,N/A
104.24.37.209,4,4,0.00,176.98,0.00,N/A
104.24.42.188,4,4,0.00,177.66,0.00,N/A
104.27.1.23,4,4,0.00,177.72,0.00,N/A
104.23.135.192,4,4,0.00,177.72,0.00,N/A
104.23.108.181,4,4,0.00,177.84,0.00,N/A
103.21.244.182,4,4,0.00,177.95,0.00,N/A
172.67.217.190,4,4,0.00,178.11,0.00,N/A
188.114.98.84,4,4,0.00,178.28,0.00,N/A
104.23.100.204,4,4,0.00,178.55,0.00,N/A
141.101.121.236,4,4,0.00,178.62,0.00,N/A
104.25.158.3,4,4,0.00,178.66,0.00,N/A
172.67.152.27,4,4,0.00,178.71,0.00,N/A
104.21.118.172,4,4,0.00,178.92,0.00,N/A
104.27.8.93,4,4,0.00,179.24,0.00,N/A
104.25.22.89,4,4,0.00,179.36,0.00,N/A
104.25.59.203,4,4,0.00,179.50,0.00,N/A
172.65.52.196,4,4,0.00,179.74,0.00,N/A
104.21.64.202,4,4,0.00,180.17,0.00,N/A
104.16.37.232,4,4,0.00,180.69,0.00,N/A
172.65.1.237,4,4,0.00,180.74,0.00,N/A
104.23.119.67,4,4,0.00,180.88,0.00,N/A
104.23.109.218,4,4,0.00,181.04,0.00,N/A
104.25.161.7,4,4,0.00,181.09,0.00,N/A
104.27.9.165,4,4,0.00,181.19,0.00,N/A
104.16.139.86,4,4,0.00,181.23,0.00,N/A
104.17.203.8,4,4,0.00,181.34,0.00,N/A
172.64.80.194,4,4,0.00,181.48,0.00,N/A
172.67.124.78,4,4,0.00,181.48,0.00,N/A
104.27.98.42,4,4,0.00,181.60,0.00,N/A
172.67.242.140,4,4,0.00,181.61,0.00,N/A
104.24.221.126,4,4,0.00,181.62,0.00,N/A
104.23.110.152,4,4,0.00,181.73,0.00,N/A
104.27.29.71,4,4,0.00,182.28,0.00,N/A
104.18.238.83,4,4,0.00,182.45,0.00,N/A
104.23.113.86,4,4,0.00,182.59,0.00,N/A
104.24.10.74,4,4,0.00,182.73,0.00,N/A
172.64.159.212,4,4,0.00,182.74,0.00,N/A
104.24.176.221,4,4,0.00,182.91,0.00,N/A
172.65.20.41,4,4,0.00,183.12,0.00,N/A
172.65.91.176,4,4,0.00,183.48,0.00,N/A
162.159.42.23,4,4,0.00,183.96,0.00,N/A
104.27.2.169,4,4,0.00,183.97,0.00,N/A
104.25.90.117,4,4,0.00,183.98,0.00,N/A
104.21.9.11,4,4,0.00,184.17,0.00,N/A
172.67.157.50,4,4,0.00,184.33,0.00,N/A
172.67.148.9,4,4,0.00,184.36,0.00,N/A
172.65.17.217,4,4,0.00,184.90,0.00,N/A
172.67.118.29,4,4,0.00,185.07,0.00,N/A
172.67.69.200,4,4,0.00,185.15,0.00,N/A
104.24.134.12,4,4,0.00,185.16,0.00,N/A
172.67.144.223,4,4,0.00,185.26,0.00,N/A
104.24.2.0,4,4,0.00,185.32,0.00,N/A
104.27.30.225,4,4,0.00,185.38,0.00,N/A
104.25.10.173,4,4,0.00,185.47,0.00,N/A
104.24.48.77,4,4,0.00,185.56,0.00,N/A
104.17.119.1,4,4,0.00,185.58,0.00,N/A
104.16.137.62,4,4,0.00,186.03,0.00,N/A
104.21.119.18,4,4,0.00,186.14,0.00,N/A
104.25.156.200,4,4,0.00,186.22,0.00,N/A
104.25.19.252,4,4,0.00,186.41,0.00,N/A
172.66.153.53,4,4,0.00,186.48,0.00,N/A
172.65.18.31,4,4,0.00,186.58,0.00,N/A
104.27.16.64,4,4,0.00,186.65,0.00,N/A
104.20.3.86,4,4,0.00,186.72,0.00,N/A
104.25.170.170,4,4,0.00,186.74,0.00,N/A
104.21.34.89,4,4,0.00,186.78,0.00,N/A
104.24.216.193,4,4,0.00,186.79,0.00,N/A
104.23.116.28,4,4,0.00,186.84,0.00,N/A
104.27.204.138,4,4,0.00,187.01,0.00,N/A
172.67.158.52,4,4,0.00,187.06,0.00,N/A
172.65.8.204,4,4,0.00,187.21,0.00,N/A
